Papel;Segmento;Cotação;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imóveis;Preço do m2;Aluguel por m2;Cap Rate;Vacância Média
HREC11;Títulos e Val. Mob.;8,34;11,30%;11,86%;0,95;431061000;314811;0;0;0;0,00%;0,00%
HSAF11;Títulos e Val. Mob.;81,75;13,58%;13,17%;0,92;206530000;345018;0;0;0;0,00%;0,00%
HSLG11;Logística;82,77;10,76%;10,20%;0,8;1047870000;561433;5;2563,75;277,47;10,82%;0,00%
HSML11;Shoppings;84,77;8,17%;10,52%;0,78;1763940000;2163500;13;7227,18;811,26;11,23%;3,11%
HSRE11;Híbrido;102;6,47%;9,97%;1,13;907670000;2439590;24;7385,14;616,05;8,34%;0,00%
HTMX11;Hotel;136,11;4,56%;16,16%;0,94;393098000;897540;22;8217,47;451,42;5,49%;0,00%
HUCG11;Hospital;106,5;-0,55%;0,00%;1,04;119493000;535;2;4175,13;0;0,00%;0,00%
HUSC11;Outros;95,35;11,67%;11,05%;0,63;81125800;6269;1;1089,63;154,89;14,22%;0,00%
HUSI11;Hospital;1240;8,30%;8,09%;0,99;144289000;89;1;7053,96;632,98;8,97%;0,00%
IAAG11;Títulos e Val. Mob.;7,35;13,13%;15,83%;0,75;76838200;117656;0;0;0;0,00%;0,00%
IAGR11;Outros;3,95;0,19%;3,10%;0,62;11051900;31280;0;0;0;0,00%;0,00%
IBBP11;Outros;7,9;9,30%;4,53%;0,88;241178000;3388;24;728,91;85,92;11,79%;0,21%
IBCR11;Títulos e Val. Mob.;59,12;10,51%;16,82%;0,63;56662000;238587;0;0;0;0,00%;0,00%
ICRI11;Títulos e Val. Mob.;97,95;9,67%;13,33%;0,98;377828000;1006760;0;0;0;0,00%;0,00%
INLG11;Logística;75,2;12,41%;11,95%;0,75;339310000;304656;5;2821,49;375,13;13,30%;0,84%
INRD11;Residencial;69,91;12,88%;10,26%;0,59;79047700;48772;5;3010,72;543,05;18,04%;1,18%
IRDM11;Títulos e Val. Mob.;69,33;13,98%;13,21%;0,84;2525960000;2694670;0;0;0;0,00%;0,00%
IRIM11;Híbrido;68,43;14,95%;14,32%;0,79;131386000;35083;1;2654,3;0;0,00%;0,00%
ISCJ11;Títulos e Val. Mob.;96,19;9,44%;8,57%;0,4;18050100;87;0;0;0;0,00%;0,00%
ITIP11;Títulos e Val. Mob.;67,61;5,75%;12,25%;0,97;50582500;61945;0;0;0;0,00%;0,00%
ITIT11;Títulos e Val. Mob.;71,27;12,96%;10,19%;0,93;64178200;128613;0;0;0;0,00%;0,00%
ITRI11;Híbrido;81,78;10,99%;11,51%;0,89;511125000;830872;0;0;0;0,00%;0,00%
JASC11;Híbrido;103;7,18%;7,25%;0,91;359402000;1632;16;3512,2;313,77;8,93%;1,30%
JCCJ11;Títulos e Val. Mob.;159,5;3,45%;3,52%;0,84;266127000;1104190;0;0;0;0,00%;0,00%
JCIN11;Títulos e Val. Mob.;150;4,78%;4,30%;0,96;197658000;1335890;0;0;0;0,00%;0,00%
JFLL11;Residencial;69,6;19,04%;9,75%;0,65;104442000;55004;2;7100,73;1636,1;23,04%;9,00%
JGPX11;;63,09;19,37%;14,59%;0,67;135091000;194879;0;0;0;0,00%;0,00%
JPPA11;Híbrido;79,88;15,66%;15,61%;0,83;72215500;89472;0;0;0;0,00%;0,00%
JPPC11;Híbrido;143,65;-4,84%;9,17%;0,7;7900750;3245;0;0;0;0,00%;0,00%
JSAF11;Títulos e Val. Mob.;7,9;12,19%;13,99%;0,89;612434000;1510530;0;0;0;0,00%;0,00%
JSCR11;Títulos e Val. Mob.;8,53;9,21%;9,73%;0,91;188829000;423665;0;0;0;0,00%;0,00%
JSRE11;Híbrido;64,11;9,46%;8,91%;0,63;1331390000;1822120;6;11380,1;1137,81;10,00%;2,98%
KCRE11;Títulos e Val. Mob.;9,1;12,70%;12,38%;0,96;327600000;374850;0;0;0;0,00%;0,00%
KDOL11;Títulos e Val. Mob.;94,82;-0,41%;3,57%;0,92;63622500;226891;0;0;0;0,00%;0,00%
KEVE11;Residencial;870;9,68%;20,61%;1,57;128500000;36324;1;0;0;0,00%;0,00%
KFEN11;Outros;1100;3,38%;4,14%;1,15;196516000;268;0;0;0;0,00%;0,00%
KFOF11;Títulos e Val. Mob.;81,87;11,04%;10,94%;0,94;574282000;1071050;0;0;0;0,00%;0,00%
KISU11;Títulos e Val. Mob.;7,06;11,72%;11,75%;0,87;312024000;499714;0;0;0;0,00%;0,00%
KIVO11;Títulos e Val. Mob.;66,6;17,31%;16,61%;0,78;148034000;464698;0;0;0;0,00%;0,00%
KNCA11;Títulos e Val. Mob.;96,69;11,44%;12,98%;0,94;2088500000;2614450;0;0;0;0,00%;0,00%
KNCR11;Títulos e Val. Mob.;104;9,02%;11,56%;1,02;7957010000;10999500;0;0;0;0,00%;0,00%
KNHF11;Híbrido;91,39;11,84%;11,74%;0,93;1797020000;4264780;3;19979,3;1155,25;5,78%;1,66%
KNHY11;Títulos e Val. Mob.;103,1;11,25%;12,78%;1,04;2904280000;2615550;0;0;0;0,00%;0,00%
KNIP11;Títulos e Val. Mob.;91;12,38%;11,77%;0,99;7287110000;5625380;0;0;0;0,00%;0,00%
KNRE11;Residencial;0,25;-2,72%;0,00%;0,37;4636790;4130;0;0;0;0,00%;0,00%
KNRI11;Híbrido;144,39;7,98%;8,25%;0,89;4072380000;6993050;20;5045,77;383,27;7,60%;0,11%
KNSC11;Títulos e Val. Mob.;8,92;8,23%;12,08%;1,01;1803650000;4944360;0;0;0;0,00%;0,00%
KNUQ11;Títulos e Val. Mob.;104,15;10,30%;12,48%;1,03;1594800000;2646880;0;0;0;0,00%;0,00%
KOPA11;Títulos e Val. Mob.;971,99;11,84%;18,82%;0,97;344742000;297617;0;0;0;0,00%;0,00%
KORE11;Títulos e Val. Mob.;86,94;17,20%;16,99%;0,82;836798000;1968170;4;13584,8;1746,87;12,86%;2,34%
LAFI11;Híbrido;112,84;8,36%;11,71%;0,98;64064000;40844;2;7,46;0,7;9,44%;0,00%
